text,label
Thanks for sharing,0
I appreciate your effort,0
This is well explained,0
This is well explained,0
I respect your opinion,0
Great suggestion!,0
"Get lost, idiot",1
Well done!,0
What a complete moron,1
I hate you so much,1
You should just give up,1
Well done!,0
That's informative,0
Thanks for sharing,0
This is really useful,0
You're an idiot,1
You did an excellent job!,0
Thank you for your help,0
You make me sick,1
I agree with you,0
Well done!,0
I understand your perspective,0
You did an excellent job!,0
You make a valid point,0
I respect your opinion,0
"Oh great, another stupid comment from you",1
This is really useful,0
Thank you for clarifying,0
You're pathetic and useless,1
I see what you mean,0
I hope bad things happen to you,1
I see what you mean,0
You're very talented,0
I appreciate your effort,0
That's a creative idea,0
"Shut up, you fool",1
I'm glad to hear that,0
This is really useful,0
You're very talented,0
"Yeah right, like you know anything",1
I appreciate your input,0
I learned something new today,0
You disgust me,1
This is well explained,0
Thank you for your help,0
Nobody wants you here,1
I agree with you,0
Have a great day!,0
"That's helpful, thank you",0
Drop dead,1
What an absolute waste,1
"Nobody likes you, loser",1
"How wonderful, you messed up again",1
I understand your perspective,0
Kill yourself,1
I appreciate your effort,0
I wish you were dead,1
Great suggestion!,0
Keep up the good work,0
Great suggestion!,0
I agree with you,0
I appreciate your input,0
That's a good point,0
That's a creative idea,0
Have a great day!,0
You make a valid point,0
Thank you for clarifying,0
That's a creative idea,0
Keep up the good work,0
I see what you mean,0
That's a good point,0
I'm glad to hear that,0
Thanks for sharing,0
That's informative,0
That's informative,0
This is interesting,0
Have a great day!,0
This is interesting,0
I respect your opinion,0
I learned something new today,0
I understand your perspective,0
I learned something new today,0
"That's helpful, thank you",0
That's a good point,0
You are stupid and worthless,1
Thank you for your help,0
I can't stand you,1
Go die in a hole,1
You're so dumb it hurts,1
"That's helpful, thank you",0
I'm glad to hear that,0
I appreciate your input,0
Keep up the good work,0
This is interesting,0
You're a terrible person,1
You're very talented,0
Thank you for clarifying,0
You're garbage,1
You make a valid point,0
You did an excellent job!,0
